ID,Exhibition,Space,Era,Country,Medium,Type of Exhibition,Principal Artist,Start Day,End Day,Duration,Report Year,Visitors,Charge?,Co-Organisers,Sponsors,Link,Description,A review with more info,days_to_start,days_to_end,exhib_duration
74,Robert Morris: Bodyspacemotionthings ,Turbine Hall,"Post-War, Contemporary",USA,Installation,Miniature / One Off,Robert Morris,2009-05-22,2009-06-14,23.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/robert-morris-bodyspacemotionthings,"Climb, balance, crawl and roll on the interactive installation Bodymotionspacesthings by artist Robert Morris, as this series of huge props including beams, weights, platforms, rollers, tunnels and ramps built from materials such as plywood, stone, steel plate, and rope transforms the Turbine Hall. This is a re-creation of Tate Gallery’s first fully interactive exhibition which took place in 1971, inspiring a huge media and public interest, when an art gallery asked people for the first time to physically interact with an art work. Shockingly, it was closed just four days after opening, due to the unexpected and over enthusiastic response of the audience. This time around, it will be created using contemporary materials based upon the original plans, in collaboration with Morris, enabling you to experience an exciting landmark in Tate's history. Bodymotionspacesthings was installed at Tate Modern as part of UBS Openings: The Long Weekend 2009. Following the success of this, opening has been extended to 14 June 2009. Robert Morris (Born in Kansas City in 1931. Lives and works in New York State.) Morris was collaboratively involved with the Judson Dance Theater in the early 1960s, choreographing a number of important works. This experience was influential in his development as a pioneer of minimalist sculpture and process art, as he explored the viewer's perception and experience of object and space. He has since continued a prolific practice as artist and writer, producing performance, painting, drawing, installation and sculpture. He is the author of a series of seminal critical essays, including Notes on Sculpture (1966), often exploring ideas addressed in his artworks. Major exhibitions of his work include his installation at the Green Gallery, New York (1965), as well as solo shows at the Whitney Museum (1970), the Tate Gallery (1971) and the Guggenheim, New York (The Mind/Body Problem 1994). Recently, his work has been exhibited at Leo Castelli, New York (Robert Morris: Deflationary Objects, 1962–1976 2008), Sprüth Magers Lee, London (Robert Morris: Early Sculpture 2005 and Morning Star Evening Star 2008).",,645,668,24
75,Futurism,,Modernism,Italy,Sculpture,Movement,,2009-06-12,2009-09-20,100.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/futurism,"Futurism was an art movement launched by the Italian poet Filippo Tommaso Marinetti in 1909. On 20 February he published his Manifesto of Futurism on the front page of the Paris newspaper Le Figaro. That moment saw the birth of the Futurists, a small group of radical Italian artists working just before the outbreak of the First World War. Among modernist movements, the Futurists rejected anything old and looked towards a new Italy. This was partly because the weight of past culture in Italy was felt as particularly oppressive. In his Manifesto, Marinetti asserted 'we will free Italy from her innumerable museums which cover her like countless cemeteries.'Welcome to EditPad.org - your online plain text editor. Enter or paste your text here. To download and save it, click on the button below. What the Futurists proposed instead was an art that celebrated the modern world of industry and technology: 'We declare … a new beauty, the beauty of speed. A racing motor car … is more beautiful than the Victory of Samothrace' (the celebrated ancient Greek sculpture in the Louvre museum in Paris). From an original blend of elements of Neo-Impressionism and Cubism, the Futurists created a new style that expressed the idea of the dynamism, energy and movement of modern life. The chief artists were Giacomo Balla, Umberto Boccioni, Carlo Carrà, Gino Severini and Luigi Russolo. Tate Modern celebrates the centenary of this dramatic art movement with a ground-breaking exhibition. Here you'll see the work of the Futurists accompanied by rooms looking at art movements reacting to Futurism, including Cubism, the British art movement Vorticism, and Russian Cubo-Futurism. Highlights include Boccioni's dynamic bronze sculpture of a man which seems to leap through thin air, Picasso's Head of a Woman, Nevinson's Vorticist masterpiece Bursting Shell, and works by major artists such as Braque, Leger, Malevich, and Duchamp.",,666,766,101
76,Per Kirkeby,,Contemporary,Denmark,Painting,Artist,Per Kirkeby,2009-06-17,2009-09-06,81.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/kirkeby,"Per Kirkeby is a household name in his native Denmark, and remains one of their best known contemporary artists. His lush, huge paintings, full of colour and movement, draw you into his mystical surroundings and abstract world. In the mid-1980s, Per Kirkeby rose to prominence alongside artists such as Georg Baselitz and Sigmar Polke, who were pioneering the rise of new painting. However Kirkeby's work defies categories by mixing high art and popular culture with the natural scenery, keeping strong roots in the artistic and cultural traditions of Denmark. One of his conceptual themes is to examine the Danish tradition of Huts in all manner of sizes, styles and shapes. Kirkeby is inspired by 'pop' art, comics and fairytales, playing on the Danish stereotype of the hut in the wilderness by creating a comic-like impression of a hut, complete with kitsch motifs of trees and rising suns. Kirkeby demonstrates a keen interest in history and art history in his works, with a career including stints as a sculptor, architect, printmaker, draughtsman, filmmaker and writer. The Siege of Constantinople 1995 (which pays homage to the original by Delacroix) is a monumental painting with  grand historical reference, huge exuberance and visual intensity. Soft Lapping of Waves,Green 2005, a more recent painting, shows his ability to build up a rich surface with textures, effects and multiple layers. This exhibition also includes the artist's bronze sculptures, 'blackboard' paintings, watercolours, books, and previously unseen 'pop'-inspired paintings of the 1960s.",,671,752,82
77,Jill Magid,Level 2,Contemporary,USA,Installation,Miniature / One Off,Jill Magid,2009-09-10,2010-01-03,115.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-jill-magid,"American artist Jill Magid's work is deeply ingrained in her lived experience, exploring and blurring the boundaries between art and life. Through her performance-based practice, Magid seeks intimate relations with structures of authority, the resulting narratives often taking the form of a love story. Authority to Remove, a one-off installation at Tate Modern, offers the viewer a unique opportunity to experience the final chapter of an epic tale, details of which were secured behind glass at the time of going to print. Authority to Remove marks the final chapter of American artist Jill Magid's long involvement with the Dutch secret service, the AIVD. In 2005, she was commissioned by the AIVD (De Algemene Inlichtingen en Veiligheidsdienst) to create an artwork for their new headquarters. This unlikely seeming invitation came about as the result of a stipulation under Dutch law that a portion of the budget for the new building be spent on an art commission. Through her performance-based practice, Magid has initiated intimate relations with a number of organisations and structures of authority. She explores the emotional, philosophical and legal tensions between the individual and 'protective' institutions, such as intelligence agencies or the police. To work alongside or within large organisations, Magid makes use of institutional quirks, systemic loopholes that allow her to make contact with people 'on the inside'. Her work tends to be characterised by the dynamics of seduction, the resulting narratives often taking the form of a love story. It is typical of Magid's practice that she follows the rules of engagement with an institution to the letter – sometimes to the point of absurdity.",,756,871,116
78,Pop Life: Art in a Material World,,Contemporary,Mixed,Mixed,Movement,,2009-10-01,2010-01-17,108.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/pop-life-art-material-world,"‘Good business is the best art,’ Andy Warhol once provocatively claimed. Tate Modern's hit autumn exhibition Pop Life examines how artists since the 1980s have cultivated their public persona as a product, and conjured a dazzling mix of media, commerce and glamour to build their own 'brands'. Beginning with the grandfather of Pop, Andy Warhol, the show includes Jeff Koons's infamous Made in Heaven series and his stainless steel Rabbit sculpture, an iconic array of golden spot and butterfly paintings from Damien Hirst's record-breaking 2008 auction, and a reconstruction of Keith Haring's Pop Shop in New York. Also included will be works by Richard Prince, Martin Kippenberger, and the notorious YBAs, and a new commission by Takashi Murakami.",,777,885,109
79,John Baldessari,,"Post-War, Contemporary",USA,Mixed,Artist,John Baldessari,2009-10-13,2010-01-10,89.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/john-baldessari-pure-beauty,"Based in Los Angeles since the 1960s, John Baldessari (born 1931) is one of the most influential artists of his generation. Making his name as a pioneer of conceptual art in the 1960s with his text and image paintings, he shocked the art world when he announced in a newspaper that he was cremating all the artworks he had produced between 1953 and 1966. He then turned his attention to photographic works often incorporating found film stills, trawling dumpsters for discarded material from which he created his famous photo-compositions. Baldessari's lifelong interest in language, both written and visual, has been at the forefront of both his artwork and his teaching, through which, over more than thirty years, he has nurtured and influenced succeeding generations of artists. His work has had a huge influence on Cindy Sherman, David Salle, and Barbara Kruger among others. His works incorporate wit and irony, both mocking conceptual art and delivering it in his iconic work I Am Making Art; superimposing media images and painting with his trademark dots and over-painted figures in The Duress Series; and exploring the idea of subliminal images in advertising in his sequence of ice cubes containing the words of his name, 'U-BUY BAL DES SARI'.",,789,878,90
80,The Unilever Series: Doris Salcedo,Turbine Hall,Contemporary,Colombia,Installation,Miniature / One Off,Doris Salcedo,2007-10-09,2008-04-06,180.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/unilever-series/unilever-series-doris-salcedo-shibboleth,"Doris Salcedo’s Shibboleth is the first work to intervene directly in the fabric of the Turbine Hall. Rather than fill this iconic space with a conventional sculpture or installation, Salcedo has created a subterranean chasm that stretches the length of the Turbine Hall. The concrete walls of the crevice are ruptured by a steel mesh fence, creating a tension between these elements that resist yet depend on one another. By making the floor the principal focus of her project, Salcedo dramatically shifts our perception of the Turbine Hall’s architecture, subtly subverting its claims to monumentality and grandeur. Shibboleth asks questions about the interaction of sculpture and space, about architecture and the values it enshrines, and about the shaky ideological foundations on which Western notions of modernity are built. In particular, Salcedo is addressing a long legacy of racism and colonialism that underlies the modern world. A ‘shibboleth’ is a custom, phrase or use of language that acts as a test of belonging to a particular social group or class. By definition, it is used to exclude those deemed unsuitable to join this group. ‘The history of racism’, Salcedo writes, ‘runs parallel to the history of modernity, and is its untold dark side’. For hundreds of years, Western ideas of progress and prosperity have been underpinned by colonial exploitation and the withdrawal of basic rights from others. Our own time, Salcedo is keen to remind us, remains defined by the existence of a huge socially excluded underclass, in Western as well as post-colonial societies. In breaking open the floor of the museum, Salcedo is exposing a fracture in modernity itself. Her work encourages us to confront uncomfortable truths about our history and about ourselves with absolute candidness, and without self-deception.",,54,234,181
81,Juan Muñoz A Retrospective,,Contemporary,Spain,Sculpture,Artist,Juan Munoz,2008-01-24,2008-04-27,94.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/juan-munoz-retrospective,"Spanish artist Juan Muñoz (1953–2001) came to international prominence in the mid 1980s with dramatic sculptural installations that placed the human figure in specific architectural environments. His reputation was built on his power to create an intriguing tension between the illusory and the real, the contrasting acts of looking and receiving, and the poignant isolation of the individual amongst a crowd. This exhibition includes well-known sculptures such as Many Times 1999, The Prompter 1988 and Conversation Piece 1996, the ‘raincoat drawings’, and important pieces with sound, light and mechanical elements. This is the first major solo retrospective of Juan Muñoz in the UK since Double Bind 2001, his remarkable installation for the Turbine Hall, the second in the Unilever Series at Tate Modern. Several performances took place during the exhibition, which are the result of Muñoz’s collaborations with well-known composers, writers and filmmakers.",,161,255,95
82,Maison Tropicale for Design Museum at Tate Modern,Outside,Post-War,France,Architecture,Miniature / One Off,Jean Prouve,2008-02-05,2008-04-13,68.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/maison-tropicale-design-museum-tate-modern,"Hotelier André Balazs, in partnership with the Design Museum and Tate Modern, brings a house designed by architectural visionary Jean Prouvé to Britain for the first time. The prototype house, designed by the French architect Jean Prouvé (1901–84), for 1950s colonial West Africa, is erected outside Tate Modern. Maison Tropicale for Design Museum at Tate Modern is an extension of the Design Museum’s exhibition Jean Prouvé – The Poetics of the Technical Object and the house demonstrates the full scale and vision of Prouvé’s economy of design. Visitors are be able to walk around this ‘flat pack’ house which was originally erected in Brazzaville, Republic of the Congo, in 1951. In 2000 the house was found in Brazzaville, in a dilapidated state and riddled with bullet holes. The house was dismantled, returned to France and restored. Jean Prouvé designed and manufactured three prototype Maisons Tropicales for West Africa between 1949 and 1951. The Brazzaville house is made from folded sheet steel and aluminium. For ease of transport all the parts were flat, lightweight and could be neatly packed into a cargo plane.  The Maisons Tropicales were designed to address the shortage of housing and civic buildings in France’s African colonies. Prouvé aimed to design for the demands of the climate and included a veranda with an adjustable aluminium sun-screen. The inner walls are made of fixed and sliding metal panels with blue glass portholes to protect against UV rays. A double roof structure was designed to produce natural ventilation.  Although designed for mass production, the prototype proved no less expensive than locally built buildings and with their industrial aesthetic did not appeal to the conservative expatriate French bureaucrats. So the house exists as a unique expression of a radical architectural vision.",,173,241,69
83,"Duchamp, Man Ray, Picabia",,Post-War,"France, USA",Mixed,Movement,,2008-02-21,2008-05-26,95.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/duchamp-man-ray-picabia,"This revelatory exhibition brings together three of the greatest figures of twentieth-century art: Marcel Duchamp, the father of Conceptual art and creator of the readymade; Man Ray, an artist who produced some of the most celebrated photographs of the modern era; and Francis Picabia, a flamboyant French painter famous for defying the conventions of ‘good taste’. Duchamp, Man Ray and Picabia were the leading figures in the New York Dada movement, rebelling against the norms of traditional art. They became friends and, as the exhibition shows, their friendship influenced the direction of their lives and their art. A powerful intellectual chemistry allowed them to respond freely to each other’s ideas in an artistic dialogue filled with in-jokes and innuendos. Focusing on periods of collaboration and highlighting their common interests, Duchamp, Man Ray, Picabia explores the intriguing connections between these three pioneering figures. This major exhibition includes many icons of modern art. It features Duchamp's Nude Descending a Staircase (No 2) 1912, which caused a furore when displayed in New York, his famous Fountain 1917, and a parody of the Mona Lisa, L.H.O.O.Q. 1919. Also included are Man Ray’s innovative experiments with the camera, such as his Rayographs and early films, as well as Picabia’s early abstract paintings and late erotic nudes.",,189,284,96
84,Level 2 Gallery: Here We Dance,Level 2,Contemporary,Mixed,Mixed,Theme,,2008-03-14,2008-05-26,73.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-here-we-dance,"This is the third exhibition in a series looking at citizenship. Here We Dance looks at the relationship between the body and the state, exploring how the physical presence and circulation of bodies in public space informs our perceptions of identity, nation, society and democracy. The title derives from a work by Ian Hamilton Finlay, which refers to the celebrations that took place during the French Revolution, and alludes to the importance of social gathering in any form of political action or resistance. Bodily movements and gestures, collective actions and games are examined through media as diverse as film, photography, neon text and performance. Each work presents the viewer with the residue of a past event, be it personal memory, cultural tradition, or a moment of historical or political significance. Here We Dance includes work by Johanna Billing, Katinka Bock, Yael Davids, Ian Hamilton Finlay, Gail Pickering and the choreographer Yvonne Rainer, whose performances are documented in photographs by Peter Moore.",,211,284,74
85,Street & Studio: An Urban History of Photography,,Mixed,Mixed,Photography,Theme,-,2008-05-22,2008-08-31,101.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/street-studio,"Street & Studio is a magnificent exhibition of international photography. It presents a fascinating history of photographic portraiture taken on the street or in the photographer’s studio, looking at the differences between these two key locations in which photographers work. Street & Studio brings out the contrast between the photos taken in the carefully orchestrated studio, and images captured in the changing and uncontrollable street, whilst highlighting the crossovers between the genres and their influence on each other. Over 350 striking works are gathered in this stylish exhibition, by some of the world’s most famous and important photographers including Francis Alÿs, Diane Arbus, Cecil Beaton, Henri Cartier-Bresson, Rineke Dijkstra, Jacques Henri Lartigue, Robert Mapplethorpe, Irving Penn, Norman Parkinson, August Sander, Cindy Sherman, Malick Sidibé, Paul Strand, James Van der Zee and Wolfgang Tillmans. Focusing on photos taken in buzzing cities, with their cosmopolitan cast of hipsters, businessmen, beauties and criminals, Street & Studio builds an engrossing urban history of photography, ranging from early black-and-white pictures from the late 1800s, to elegant fashion photography from the mid twentieth century, to cutting-edge portraiture by contemporary artists.",,280,381,102
86,Street Art,,Mixed,Mixed,Mixed,Theme,,2008-05-23,2008-08-25,94.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/street-art,"In the first commission to use the building's iconic river façade, and the first major public museum display of street art in London, Tate Modern presents the work of six internationally acclaimed artists whose work is intricately linked to the urban environment: Blu from Bologna, Italy; the artist collective Faile from New York, USA; JR from Paris, France; Nunca and Os Gemeos, both from São Paulo, Brazil and Sixeart from Barcelona, Spain. You can also take the Street Art Walking Tour: an urban tour of site-specific art from a group of five Madrid-based street artists: 3TTMan, Spok, Nano 4814, El Tono and Nuria – a map will be available in the gallery. Various events will take place during the exhibition, including an interactive evening with experimental New York artists Graffiti Research Lab, refacing Tate Modern with graffiti light projections.",,281,375,95
87,Level 2 Gallery: 9 Scripts from a Nation at War,Level 2,Contemporary,Mixed,Film,Miniature / One Off,,2008-06-13,2008-08-25,73.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-9-scripts-nation-war,"9 Scripts from a Nation at War is a ten-part video installation by David Thorne, Katya Sander, Ashley Hunt, Sharon Hayes and Andrea Geyer that responds to the conditions and questions that have arisen during and in response to the military conflicts in Iraq since March 2003. The work examines the ways in which war determines and 'scripts' certain roles, and the capacity of individuals to fulfil or resist typologies including 'citizen', 'veteran', 'detainee' and 'correspondent'. Another central theme is the investigation of how language affects identity in times of conflict. A live reading of the transcripts of eighteen Combatant Status Review Tribunals held at the US military prison camp at Guantánamo Bay, Cuba, takes place on Thursday 12 June from 12.30.",,302,375,74
88,Cy Twombly: Cycles and Seasons,,"Post-War, Contemporary",USA,Painting,Artist ,Cy Twombley,2008-06-19,2008-09-14,87.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/cy-twombly,"Tate Modern presents a major exhibition of works by Cy Twombly, one of the most highly regarded painters working today and a foremost figure among the generation of American artists that includes Jasper Johns, Robert Rauschenberg and Andy Warhol. Twombly rose to prominence through a distinctive style characterised by scribbles and vibrantly daubed paint. This is his first solo retrospective in fifteen years, and provides an overview of his work from the 1950s to now. Twombly emerged as a painter at the height of Abstract Expressionism, then in 1957 he left America for Italy, where he drew inspiration from European literature and classical culture. At the heart of the exhibition is Twombly’s work exploring the cycles associated with seasons, nature and the passing of time. Several key groups are brought together for the first time, such as Tate’s Four Seasons 1993–4 with those from the Museum of Modern Art, New York. The exhibition also explores how Twombly is influenced by antiquity, myth and the Mediterranean, for example the violent red swirls in the Bacchus 2005 paintings which bring to mind the drunken god of wine. This exhibition provides a unique opportunity to see the full range of Twombly’s long and influential career from a fresh perspective.",,308,395,88
89,H BOX,,Contemporary,Mixed,Film,Miniature / One Off,,2008-07-03,2008-08-17,45.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/h-box,"H BOX is an innovative, roaming screening hall, presenting major new video commissions by eight international artists. Designed by architect Didier Fiuza Faustino, the unique structure hosts a rotating, diverse programme of videos by Alice Anderson, Yael Bartana, Sebastián Díaz-Morales, Dora García, Judit Kúrtag, Valérie Mréjen, Shahryar Nashat, and Su-Mei Tse. Consisting of two entirely collapsible modules constructed of aluminum and Perspex, H BOX can be assembled, disassembled and transported as required. It is designed to travel the world, in search of new audiences. Each year, as H BOX tours between museums internationally, four new artists will join the programme as four others give up their place. The itinerant nature of the structure and the commissions shown within it highlight the exciting fluidity of video, a medium that continues to reshape globally the twenty-first century. H BOX is produced by Hermès. Benjamin Weil, executive director of Artists Space, New York, is the artistic director of the project. H BOX was first unveiled at the Pompidou Centre in Paris in November 2007 and has traveled to MUSAC, Museo de Arte Contemporaneo de Castilla y Leon, Spain, and MUDAM, Luxembourg. Following its presentation at Tate Modern H BOX will travel to the Yokohama Triennale in Yokohama, Japan.",,322,367,46
90,Level 2 Gallery: Latifa Echakhch ,Level 2 ,Contemporary,France,Installation,Miniature / One Off,Latifa Echakhch,2008-09-19,2008-11-23,65.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-latifa-echakhch-speakers-corner,"Latifa Echakhch creates sculptures and installations that explore the visual and architectural codes of identity. She makes allusions to Islamic geometric patterns and minimalism, colourfield painting, radical politics and the bureaucracy of residency visas, examining how even the most banal objects can be infused with cultural assumptions. Taking its name from the area in Hyde Park designated as a space for free speech, protest and debate, Latifa Echakhch’s first exhibition in the UK explores themes of the individual and the state. It comprises two dramatic installations, each combining new and existing works.",,400,465,66
91,Cildo Meireles,,Contemporary,Brazil,Sculpture,Artist ,Cildo Meireles,2008-09-26,2009-02-01,128.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/cildo-meireles,"The Brazillian artist Cildo Meireles (born 1948) is widely recognised as one of the leaders in the international development of Conceptual art. Since the late 1960s he has created sculptures and installations which involve an element of participation, often drawing attention to the body in space and time, as a physical being, and also as a psychological, social, and political one. This exhibition will be the first extensive presentation of the artist’s work in the UK. Revealing how he is particularly fascinated by scale, the works will range from an object in the form of a finger-ring to an installation covering 225 square metres. Meireles will also create two new works in London.",,407,535,129
92,The Unilever Series: Dominique Gonzalez-Foerster,Turbine Hall,Contemporary,France,Installation,Miniature / One Off,Dominique Gonzalez-Foerster,2008-10-14,2009-01-11,89.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/unilever-series/unilever-series-dominique-gonzalez-foerster-th2058,"TH.2058 by Dominique Gonzalez-Foerster, imagines Tate Modern 50 years into the future, set in a London afflicted by perpetual rain. Tate Modern is being used as a shelter for people, a storage space for art works and for the remains of culture. The vast Turbine Hall is filled with monumental replicas of iconic sculptural works. Rows of bunk beds are scattered with books, and on a giant screen The Last Film is continuously running. Made up of short excerpts from science-fiction films, The Last Film suggests a potential state of catastrophe as well as the possibility of collective memory.",,425,514,90
93,UBS Openings: Paintings from the 1980s,,Contemporary,Mixed,Painting,Collection,,2008-10-14,2009-04-13,181.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ubs-openings-paintings-1980s,"Towards the end of the 1970s, the dominance of conceptual art was challenged by a return to painting that was energetic and narrative. The moment was caught in an exhibition called A New Spirit in Painting. Looking back over more than twenty five years, this display recaptures that moment through exemplary works by a generation of artists from Italy, Germany, America and Britain. Taking the opportunity to combine paintings from The UBS Art Collection with significant Tate works, the display continues the sequence associated with the UBS and Tate partnership, opening up art to new audiences.",,425,606,182
94,Level 2 Gallery: Nicholas Hlobo,Level 2,Contemporary,South Africa,Sculpture,Miniature / One Off,Nicholas Hlobo,2008-11-12,2009-04-13,152.0,2008-09-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-nicholas-hlobo,"This is Nicholas Hlobo's first solo exhibition in the UK. Hlobo weaves together disparate materials including satin ribbon, leather and the inner tubes of car tyres. Anchored in dense Xhosa cultural references and his experiences of living in post-apartheid South Africa, his work is highly individual and seductively tactile. In this exhibition Hlobo intricately stitches together a massive organic form that appears to have invaded the gallery. This new commission, together with a series of works on paper, is richly layered with bodily references, sexual innuendo and Xhosa fable.",,454,606,153
